,score,tier
id-projeto-amaznia-conectada-pac-02,4.520157075458372e-05,3
id-eastern-light-sweden-finland-ii,4.309716089164711e-05,3
id-bcs-north---phase-1,4.208819725873229e-05,3
id-germany-denmark-3,3.7764067403383086e-05,3
id-finland-estonia-2-eesf-2,3.4593038842793666e-05,3
id-finland-estonia-connection-1-fec-1,3.4593038842793666e-05,3
id-finland-estonia-connection-2-fec-2,3.4593038842793666e-05,3
id-finland-estonia-3-eesf-3,2.392685186626562e-05,3
id-oskarshamn-visby,1.9890997334606358e-05,3
id-vstervik-visby,1.9890997334606358e-05,3
id-aurora,1.979490556004304e-05,3
id-norte-conectado-infovia-03,1.9170309025381488e-05,3
id-baltica,1.8882033701691543e-05,3
id-norte-conectado-infovia-04,1.8161345392466673e-05,3
id-norte-conectado-infovia-02,1.7562619720187553e-05,3
id-bcs-north---phase-2,1.595123457751041e-05,3
id-e-finest,1.5855142802947096e-05,3
id-latvia-sweden-1-lv-se-1,1.0089636329148153e-05,3
id-rnne-rdvig,1.0089636329148153e-05,3
id-eaufon-2,9.416993907204942e-06,3
id-sweden-estonia-ee-s-1,7.302974866811997e-06,3
id-italy-greece-1-ig-1,6.053781797488892e-06,3
id-eaufon-1,5.073645696943071e-06,3
id-eaufon-3,4.4476764226448996e-06,3
id-cyclades-a,4.15116466113524e-06,3
id-natitua-sud,3.843670982532629e-06,3
id-cyclades-b,3.843670982532629e-06,3
id-russia-japan-cable-network-rjcn,2.882753236899472e-06,3
id-energinet-lyngsa-laeso,2.882753236899472e-06,3
id-link-3-phase-1,2.3062025895195776e-06,3
id-petropavlovsk-kamchatsky---anadyr,1.7296519421396832e-06,3
id-thetis,1.6431693450326991e-06,3
id-balok,1.441376618449736e-06,3
id-link-1-phase-2,1.441376618449736e-06,3
id-energinet-laeso-varberg,1.1531012947597888e-06,3
id-whidbey-island-seattle,1.1531012947597888e-06,3
id-polar-express,1.0954462300217994e-06,3
id-natitua,1.0482739043270807e-06,3
id-lanis-2,8.648259710698416e-07,3
id-link-1-phase-1,8.648259710698416e-07,3
id-jeju-mainland-2,8.648259710698416e-07,3
id-jeju-mainland-3,8.648259710698416e-07,3
id-jeju-udo,8.648259710698416e-07,3
id-kattegat-2,8.648259710698416e-07,3
id-cabo-verde-telecom-domestic-submarine-cable-phase-2,7.687341965065259e-07,3
id-r100-north,6.385453406465497e-07,3
id-caucasus-cable-system,5.765506473798944e-07,3
id-american-1,4.6124051790391554e-07,3
id-bt-mt-1,4.324129855349208e-07,3
id-georgia-russia,3.8436709825326296e-07,3
id-gtmo-1,2.882753236899472e-07,2
id-melita-1,2.882753236899472e-07,2
id-uk-channel-islands-7,2.882753236899472e-07,2
id-roquetas-melilla-cam,2.882753236899472e-07,2
id-alpal-2,2.882753236899472e-07,2
id-malta-italy-interconnector,2.882753236899472e-07,2
id-kanawa,2.882753236899472e-07,2
id-almera-melilla-alme,2.882753236899472e-07,2
id-sovetskaya-gavan-ilyinskoye,2.882753236899472e-07,2
id-channel-islands-9-liberty-submarine-cable,2.882753236899472e-07,2
id-sovetskaya-gavan-uglegorsk,2.882753236899472e-07,2
id-whidbey-island-everett,2.882753236899472e-07,2
id-whidbey-island-hat-island,2.882753236899472e-07,2
id-penbal-5,2.882753236899472e-07,2
id-energy-bridge-cable,2.882753236899472e-07,2
id-bcs-east-west-interlink,2.882753236899472e-07,2
id-kerch-strait-cable,2.882753236899472e-07,2
id-gtmo-pr,2.882753236899472e-07,2
id-javali,2.882753236899472e-07,2
id-konstanz-meersburg,2.882753236899472e-07,2
id-link-2-phase-2,2.882753236899472e-07,2
id-konstanz-friedrichshafen,2.882753236899472e-07,2
id-bcs-east,2.882753236899472e-07,2
id-arimao,2.882753236899472e-07,2
id-groix-4,0.0,1
id-lower-indian-ocean-network-lion,0.0,1
id-vodafone-greece-domestic,0.0,1
id-bangladesh-private-cable-system-bpcs,0.0,1
id-alaska-united-turnagain-arm-auta,0.0,1
id-bass-strait-1,0.0,1
id-bass-strait-2,0.0,1
id-basslink,0.0,1
id-whidbey-island-camano-island,0.0,1
id-guadeloupe-cable-des-iles-du-sud-gcis,0.0,1
id-trans-caspian-fiber-optic-cable-project,0.0,1
id-malta-gozo-cable,0.0,1
id-mercator,0.0,1
id-globalconnect-2-gc2,0.0,1
id-haikou-beihai-cable,0.0,1
id-airraq,0.0,1
id-lumut-pangkor-island,0.0,1
id-tangerine,0.0,1
id-yuza-tobishima,0.0,1
id-ixchel,0.0,1
id-tautira-teahupoo,0.0,1
id-vancouver-bowen-island-vancouver-island,0.0,1
id-meltingpot-indianoceanic-submarine-system-metiss,0.0,1
id-mandji-fiber-optic-cable,0.0,1
id-apocs-1,0.0,1
id-gulf-of-california-cable,0.0,1
id-globalconnect-6-gc6,0.0,1
id-globalconnect-denmark-sweden,0.0,1
id-turcyos-2,0.0,1
id-uk-channel-islands-8,0.0,1
id-ulleung-mainland-2,0.0,1
id-turcyos-1,0.0,1
id-awashima-murakami,0.0,1
id-italy-croatia,0.0,1
id-globalconnect-3-gc3,0.0,1
id-gulf-of-mexico-fiber-optic-network,0.0,1
id-apocs-2,0.0,1
